Id;Label;Interval;Degree;Weighted degree;Eccentricity;Closeness Centrality;Harmonic Closeness Centrality;Betweenness Centrality;PageRank;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality
API DEVELOPMENT;API DEVELOPMENT;;2;16.0;4.0;0.26742788461538464;0.2794007490636702;1,45E+10;8,77E+11;0;2;0.0;0;0.039025182217593775
ASP.NET;ASP.NET;;1;7.0;4.0;0.2608440797186401;0.2666666666666664;0.0;6,13E+11;0;1;0.0;0;0.009840045511412277
AUDIO PROCESSING;AUDIO PROCESSING;;2;16.0;4.0;0.2760545905707196;0.29400749063670384;4,70E+10;8,41E+11;0;8;0.0;0;0.04955885986328756
AUTOENCODERS;AUTOENCODERS;;3;23.0;4.0;0.28635778635778636;0.31123595505617957;1,80E+12;0.001104040068289466;0;8;0.0;0;0.07608505945959407
AWS;AWS;;13;103.0;4.0;0.33969465648854963;0.38913857677902647;0.008818589958424173;0.003900628248373882;0;9;0.0;0;0.3179352743507414
AWS API GATEWAY;AWS API GATEWAY;;1;8.0;4.0;0.26519666269368297;0.2745318352059922;0.0;6,37E+11;0;6;0.0;0;0.017617448837067985
AWS CLOUDFORMATION;AWS CLOUDFORMATION;;4;31.0;4.0;0.2870967741935484;0.31329588014981247;4,63E+12;0.00144103225349499;0;9;0.0;0;0.10146012461419263
AWS CLOUDFRONT;AWS CLOUDFRONT;;1;8.0;4.0;0.2757125154894672;0.2925093632958799;0.0;5,87E+11;0;7;0.0;0;0.038368269376048945
AWS CLOUDTRAIL;AWS CLOUDTRAIL;;1;7.0;4.0;0.2667865707434053;0.2773408239700371;0.0;7,00E+11;0;9;0.0;0;0.013629693973408297
AWS CODEDEPLOY;AWS CODEDEPLOY;;1;7.0;4.0;0.2667865707434053;0.2773408239700371;0.0;7,00E+11;0;9;0.0;0;0.013629693973408297
AWS DEVOPS ENGINEER;AWS DEVOPS ENGINEER;;1;9.0;4.0;0.2620730270906949;0.2689138576779023;0.0;6,80E+11;0;2;0.0;0;0.010392199073980615
AWS DYNAMODB;AWS DYNAMODB;;1;7.0;4.0;0.2667865707434053;0.2773408239700371;0.0;7,00E+11;0;9;0.0;0;0.013629693973408297
AWS EC2;AWS EC2;;1;8.0;4.0;0.26519666269368297;0.2745318352059922;0.0;6,37E+11;0;6;0.0;0;0.017617448837067985
AWS ELASTIC BEANSTALK;AWS ELASTIC BEANSTALK;;1;8.0;4.0;0.2757125154894672;0.2925093632958799;0.0;5,87E+11;0;7;0.0;0;0.038368269376048945
AWS EMR;AWS EMR;;1;8.0;4.0;0.26519666269368297;0.2745318352059922;0.0;6,37E+11;0;6;0.0;0;0.017617448837067985
AWS GLUE;AWS GLUE;;7;55.0;4.0;0.30067567567567566;0.33576779026217213;0.0023154343207060332;0.002349479019039024;0;9;0.0;0;0.1534547073318529
AWS LAMBDA;AWS LAMBDA;;10;78.0;4.0;0.32434402332361517;0.36891385767790275;0.005158098081214561;0.003134854802546627;0;9;0.0;0;0.2299298726294793
AWS RDS;AWS RDS;;3;24.0;4.0;0.2943121693121693;0.3230337078651684;3,89E+12;0.0011591937971030682;0;6;0.0;0;0.08937161444435773
AWS REDSHIFT;AWS REDSHIFT;;2;16.0;4.0;0.2908496732026144;0.3170411985018724;1,29E+11;8,66E+11;0;9;0.0;0;0.06660339510977804
AWS S3;AWS S3;;8;64.0;4.0;0.3219971056439942;0.3642322097378277;0.0031953733169049984;0.002498387546431429;0;9;0.0;0;0.22259757871186484
AWS SAGEMAKER;AWS SAGEMAKER;;5;40.0;4.0;0.2998652291105121;0.33277153558052436;8,16E+11;0.001638070584387818;0;9;0.0;0;0.1438276624378534
AWS SQS;AWS SQS;;1;8.0;4.0;0.2770859277708593;0.2947565543071158;0.0;6,08E+11;0;9;0.0;0;0.033385896231240775
AZURE;AZURE;;28;218.0;4.0;0.3931095406360424;0.4531835205992511;0.03645493898100882;0.0081055514969629;0;1;0.0;0;0.5940260318407686
AZURE AI;AZURE AI;;5;38.0;4.0;0.296271637816245;0.3277153558052434;0.0010333056747443088;0.0016954497419758296;0;2;0.0;0;0.1225759147202268
AZURE COGNITIVE SERVICES;AZURE COGNITIVE SERVICES;;2;16.0;4.0;0.2809343434343434;0.30187265917602973;2,53E+11;8,08E+11;0;7;0.0;0;0.06117063949865334
AZURE DATA FACTORY;AZURE DATA FACTORY;;15;117.0;4.0;0.33763277693474963;0.3887640449438203;0.007575372291875869;0.00433391415192482;0;9;0.0;0;0.35245624380738166
AZURE DATALAKE;AZURE DATALAKE;;1;7.0;4.0;0.263938315539739;0.2722846441947563;0.0;5,89E+11;0;6;0.0;0;0.017038713196078872
AZURE DEVOPS;AZURE DEVOPS;;17;133.0;4.0;0.34389489953632146;0.3973782771535581;0.010516865826610966;0.004916950352359785;0;8;0.0;0;0.3638714831224905
AZURE FUNCTIONS;AZURE FUNCTIONS;;8;62.0;4.0;0.30689655172413793;0.3451310861423221;0.002337749261564762;0.002459353668060422;0;2;0.0;0;0.1737269361220093
AZURE KUBERNETES SERVICE;AZURE KUBERNETES SERVICE;;3;24.0;4.0;0.2970627503337784;0.32696629213483136;5,15E+09;0.0011821114727913608;0;0;0.0;0;0.08499565188139795
AZURE LOGIC APPS;AZURE LOGIC APPS;;2;16.0;4.0;0.26583034647550774;0.2765917602996251;4,03E+11;9,64E+11;0;1;0.0;0;0.025228096258361067
AZURE MACHINE LEARNING;AZURE MACHINE LEARNING;;5;39.0;4.0;0.30437756497948015;0.3389513108614232;5,46E+11;0.0015740417619161601;0;8;0.0;0;0.15761509349132347
AZURE SYNAPSE;AZURE SYNAPSE;;4;32.0;4.0;0.2912303664921466;0.31947565543071127;5,53E+11;0.0014486651943865958;0;7;0.0;0;0.09239532246221305
BACHELOR OF AEROSPACE ENGINEERING;BACHELOR OF AEROSPACE ENGINEERING;;3;30.0;4.0;0.2841634738186462;0.30786516853932566;1,26E+12;0.0010861204042092105;0;7;0.0;0;0.07612638580966351
BACHELOR OF BUSINESS ADMINISTRATION;BACHELOR OF BUSINESS ADMINISTRATION;;1;9.0;4.0;0.2757125154894672;0.2925093632958799;0.0;5,87E+11;0;7;0.0;0;0.038368269376048945
BACHELOR OF CIVIL ENGINEERING;BACHELOR OF CIVIL ENGINEERING;;2;17.0;4.0;0.2757125154894672;0.29344569288389477;1,50E+12;9,33E+11;0;8;0.0;0;0.039845005735113875
BACHELOR OF COMPUTER ENGINEERING;BACHELOR OF COMPUTER ENGINEERING;;8;72.0;4.0;0.3094575799721836;0.34850187265917604;0.002365444625673134;0.0024862104873184677;0;2;0.0;0;0.17915252962581893
BACHELOR OF COMPUTER SCIENCE;BACHELOR OF COMPUTER SCIENCE;;8;74.0;4.0;0.3103207810320781;0.3496254681647942;0.004896766405841818;0.0029083166778035956;0;4;0.0;0;0.13093840320518482
BACHELOR OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGIES ENGINEERING;BACHELOR OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGIES ENGINEERING;;1;9.0;4.0;0.27639751552795033;0.2936329588014978;0.0;5,95E+11;0;8;0.0;0;0.03321749887853725
BACHELOR OF DATA ENGINEERING;BACHELOR OF DATA ENGINEERING;;2;18.0;4.0;0.26839565741857657;0.28108614232209705;6,33E+08;8,06E+11;0;9;0.0;0;0.05444453440954362
